file,nbv,nbc,ck_command,ck_status,ck_mem,ck_time,ck_d4_command,ck_d4_status,ck_d4_mem,ck_d4_time,ck_umc,ck_amc_command,ck_amc_status,ck_amc_mem,ck_amc_time,ck_amc_n,ck_amc_nsuccess,ck_amc_y,ck_amc_yl,ck_amc_yh
cnf/lagniez/BayesianNetwork/DQMR/qmr-60/or-60-5-10-UC-40.cnf,120,300,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-60/or-60-5-10-UC-40.cnf, done, 536367, 0.188507,/d4/d4 -dDNNF /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-60/or-60-5-10-UC-40.cnf.up -out=/tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-60/or-60-5-10-UC-40.cnf.unnf, done, 583913, 0.0415935,24576,/capkc/build/appmc --cnf /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-60/or-60-5-10-UC-40.cnf --nb 100000 --alpha 0.01, done, 549560, 0.280109,100000, 100000, 24576, 24574.4, 24576
cnf/soos/or-100-5-6-UC-30.cnf.gz.no_w.cnf,200,500,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/soos/or-100-5-6-UC-30.cnf.gz.no_w.cnf, done, 536502, 0.201585,/d4/d4 -dDNNF /tmp/cnf/soos/or-100-5-6-UC-30.cnf.gz.no_w.cnf.up -out=/tmp/cnf/soos/or-100-5-6-UC-30.cnf.gz.no_w.cnf.unnf, done, 584024, 0.0414936,549755813888,/capkc/build/appmc --cnf /tmp/cnf/soos/or-100-5-6-UC-30.cnf.gz.no_w.cnf --nb 100000 --alpha 0.01, done, 549695, 0.318193,100000, 100000, 5.49756e+11, 5.49719e+11, 5.49756e+11
cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-20-9-UC-40.cnf,200,500,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-20-9-UC-40.cnf, done, 536485, 0.191735,/d4/d4 -dDNNF /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-20-9-UC-40.cnf.up -out=/tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-20-9-UC-40.cnf.unnf, done, 584019, 0.0490481,21465661440,/capkc/build/appmc --cnf /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-20-9-UC-40.cnf --nb 100000 --alpha 0.01, done, 549851, 0.325829,100000, 100000, 2.14657e+10, 2.14642e+10, 2.14657e+10
cnf/sundermann/systems_software/ToyBox/Berger2013.cnf,544,1020,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/sundermann/systems_software/ToyBox/Berger2013.cnf, done, 536772, 0.249615,/d4/d4 -dDNNF /tmp/cnf/sundermann/systems_software/ToyBox/Berger2013.cnf.up -out=/tmp/cnf/sundermann/systems_software/ToyBox/Berger2013.cnf.unnf, done, 580079, 0.0404039,144991790900969472,/capkc/build/appmc --cnf /tmp/cnf/sundermann/systems_software/ToyBox/Berger2013.cnf --nb 100000 --alpha 0.01, done, 660180, 0.586617,100000, 100000, 1.44992e+17, 1.44982e+17, 1.44992e+17
cnf/plazar/Blasted_Real/blasted_case213.cnf,648,1891,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/plazar/Blasted_Real/blasted_case213.cnf, done, 537243, 0.848178,/d4/d4 -dDNNF /tmp/cnf/plazar/Blasted_Real/blasted_case213.cnf.up -out=/tmp/cnf/plazar/Blasted_Real/blasted_case213.cnf.unnf, done, 581152, 0.142346,151115727451828646838272,/capkc/build/appmc --cnf /tmp/cnf/plazar/Blasted_Real/blasted_case213.cnf --nb 100000 --alpha 0.01, done, 551182, 0.815614,100000, 100000, 1.51116e+23, 1.51106e+23, 1.51116e+23
cnf/plazar/Blasted_Real/blasted_case58.cnf,96,299,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/plazar/Blasted_Real/blasted_case58.cnf, done, 536231, 0.191136,/d4/d4 -dDNNF /tmp/cnf/plazar/Blasted_Real/blasted_case58.cnf.up -out=/tmp/cnf/plazar/Blasted_Real/blasted_case58.cnf.unnf, done, 579796, 0.040429,35328,/capkc/build/appmc --cnf /tmp/cnf/plazar/Blasted_Real/blasted_case58.cnf --nb 100000 --alpha 0.01, done, 549560, 0.301752,100000, 100000, 35328, 35325.7, 35328
cnf/plazar/V3/s27_new_3_2.cnf,17,31,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/plazar/V3/s27_new_3_2.cnf, done, 536223, 0.135549,/d4/d4 -dDNNF /tmp/cnf/plazar/V3/s27_new_3_2.cnf.up -out=/tmp/cnf/plazar/V3/s27_new_3_2.cnf.unnf, done, 583839, 0.0372497,48,/capkc/build/appmc --cnf /tmp/cnf/plazar/V3/s27_new_3_2.cnf --nb 100000 --alpha 0.01, done, 549560, 0.264547,100000, 100000, 48, 47.9968, 48
cnf/lagniez/Planning/pddlXpSym/uts_k2_p_t2.cnf,227,771,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/uts_k2_p_t2.cnf, done, 863645, 2.56092,/d4/d4 -dDNNF /tmp/cnf/lagniez/Planning/pddlXpSym/uts_k2_p_t2.cnf.up -out=/tmp/cnf/lagniez/Planning/pddlXpSym/uts_k2_p_t2.cnf.unnf, done, 585908, 0.531545,11626479616,/capkc/build/appmc --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/uts_k2_p_t2.cnf --nb 100000 --alpha 0.01, done, 553345, 0.381766,100000, 100000, 1.16265e+10, 1.16257e+10, 1.16265e+10
cnf/soos/or-70-10-8-UC-10.cnf.gz.no_w.cnf,140,350,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/soos/or-70-10-8-UC-10.cnf.gz.no_w.cnf, done, 536367, 1.87249,/d4/d4 -dDNNF /tmp/cnf/soos/or-70-10-8-UC-10.cnf.gz.no_w.cnf.up -out=/tmp/cnf/soos/or-70-10-8-UC-10.cnf.gz.no_w.cnf.unnf, done, 596508, 1.29175,281474976710656,/capkc/build/appmc --cnf /tmp/cnf/soos/or-70-10-8-UC-10.cnf.gz.no_w.cnf --nb 100000 --alpha 0.01, done, 577519, 0.675576,100000, 100000, 2.81475e+14, 2.81456e+14, 2.81475e+14
cnf/plazar/Blasted_Real/blasted_case105.cnf,170,407,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf, done, 536367, 0.215311,/d4/d4 -dDNNF /tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf.up -out=/tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf.unnf, done, 580108, 0.0586114,2199023255552,/capkc/build/appmc --cnf /tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf --nb 100000 --alpha 0.01, done, 549982, 0.393278,100000, 100000, 2.19902e+12, 2.19888e+12, 2.19902e+12
