file,nbv,nbc,ck_command,ck_status,ck_mem,ck_time,ck_d4_command,ck_d4_status,ck_d4_mem,ck_d4_time,ck_umc,ck_amc1_command,ck_amc1_status,ck_amc1_mem,ck_amc1_time,ck_amc2_command,ck_amc2_status,ck_amc2_mem,ck_amc2_time,ck_amc3_command,ck_amc3_status,ck_amc3_mem,ck_amc3_time,ck_amc4_command,ck_amc4_status,ck_amc4_mem,ck_amc4_time
cnf/soos/blasted_case38.cnf.gz.no_w.cnf,143,568,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/soos/blasted_case38.cnf.gz.no_w.cnf, done, 536424, 0.428748,/d4/d4 -dDNNF /tmp/cnf/soos/blasted_case38.cnf.gz.no_w.cnf.up -out=/tmp/cnf/soos/blasted_case38.cnf.gz.no_w.cnf.unnf, done, 580046, 0.0467835,4096,/capkc/build/appmc --cnf /tmp/cnf/soos/blasted_case38.cnf.gz.no_w.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 549838, 0.03748,/capkc/build/appmc --cnf /tmp/cnf/soos/blasted_case38.cnf.gz.no_w.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 549838, 0.0357109,/capkc/build/appmc --cnf /tmp/cnf/soos/blasted_case38.cnf.gz.no_w.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 818274, 0.0369608,/capkc/build/appmc --cnf /tmp/cnf/soos/blasted_case38.cnf.gz.no_w.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 603844, 0.0362228
cnf/plazar/Blasted_Real/blasted_case105.cnf,170,407,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf, done, 536367, 0.203653,/d4/d4 -dDNNF /tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf.up -out=/tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf.unnf, done, 580108, 0.0563703,2199023255552,/capkc/build/appmc --cnf /tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 549986, 0.0383266,/capkc/build/appmc --cnf /tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 549986, 0.0372648,/capkc/build/appmc --cnf /tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 549986, 0.0329628,/capkc/build/appmc --cnf /tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 549986, 0.0363927
cnf/soos/or-50-10-4-UC-30.cnf.gz.no_w.cnf,100,250,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/soos/or-50-10-4-UC-30.cnf.gz.no_w.cnf, done, 536231, 0.189052,/d4/d4 -dDNNF /tmp/cnf/soos/or-50-10-4-UC-30.cnf.gz.no_w.cnf.up -out=/tmp/cnf/soos/or-50-10-4-UC-30.cnf.gz.no_w.cnf.unnf, done, 583954, 0.0468723,51380224,/capkc/build/appmc --cnf /tmp/cnf/soos/or-50-10-4-UC-30.cnf.gz.no_w.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 549691, 0.0351399,/capkc/build/appmc --cnf /tmp/cnf/soos/or-50-10-4-UC-30.cnf.gz.no_w.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 549691, 0.0329308,/capkc/build/appmc --cnf /tmp/cnf/soos/or-50-10-4-UC-30.cnf.gz.no_w.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 536879, 0.0345274,/capkc/build/appmc --cnf /tmp/cnf/soos/or-50-10-4-UC-30.cnf.gz.no_w.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 536879, 0.0344488
cnf/lagniez/Planning/pddlXpSym/emptyroom_d8_g4_p_t10.cnf,776,2582,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d8_g4_p_t10.cnf, done, 537784, 6.66823,/d4/d4 -dDNNF /tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d8_g4_p_t10.cnf.up -out=/tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d8_g4_p_t10.cnf.unnf, done, 585924, 1.65718,8739644651521,/capkc/build/appmc --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d8_g4_p_t10.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 557522, 0.144976,/capkc/build/appmc --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d8_g4_p_t10.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 557522, 0.1452,/capkc/build/appmc --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d8_g4_p_t10.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 557522, 0.147929,/capkc/build/appmc --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d8_g4_p_t10.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 557522, 0.14867
cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-2-UC-40.cnf,140,350,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-2-UC-40.cnf, done, 536367, 0.218475,/d4/d4 -dDNNF /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-2-UC-40.cnf.up -out=/tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-2-UC-40.cnf.unnf, done, 584327, 0.054445,114520227840,/capkc/build/appmc --cnf /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-2-UC-40.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 550121, 0.0393436,/capkc/build/appmc --cnf /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-2-UC-40.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 550121, 0.0384085,/capkc/build/appmc --cnf /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-2-UC-40.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 550121, 0.0350542,/capkc/build/appmc --cnf /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-2-UC-40.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 550121, 0.0385094
cnf/soos/or-70-20-1-UC-40.cnf.gz.no_w.cnf,140,350,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/soos/or-70-20-1-UC-40.cnf.gz.no_w.cnf, done, 536367, 0.272617,/d4/d4 -dDNNF /tmp/cnf/soos/or-70-20-1-UC-40.cnf.gz.no_w.cnf.up -out=/tmp/cnf/soos/or-70-20-1-UC-40.cnf.gz.no_w.cnf.unnf, done, 585625, 0.155385,254775263232,/capkc/build/appmc --cnf /tmp/cnf/soos/or-70-20-1-UC-40.cnf.gz.no_w.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 553050, 0.0702213,/capkc/build/appmc --cnf /tmp/cnf/soos/or-70-20-1-UC-40.cnf.gz.no_w.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 553050, 0.0658108,/capkc/build/appmc --cnf /tmp/cnf/soos/or-70-20-1-UC-40.cnf.gz.no_w.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 553050, 0.0701898,/capkc/build/appmc --cnf /tmp/cnf/soos/or-70-20-1-UC-40.cnf.gz.no_w.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 888594, 0.0707852
cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf,460,720,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf, done, 536657, 6.47421,/d4/d4 -dDNNF /tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf.up -out=/tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf.unnf, done, 590041, 1.4079,2348542582773833227889480596789337027375682548908319870707290971532209025114608443463698998384768703031934976,/capkc/build/appmc --cnf /tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 563441, 0.188916,/capkc/build/appmc --cnf /tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 563441, 0.187851,/capkc/build/appmc --cnf /tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 563441, 0.187763,/capkc/build/appmc --cnf /tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 563441, 0.18738
cnf/lagniez/qif/mixdup.cnf,309,452,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/lagniez/qif/mixdup.cnf, done, 536637, 0.2444,/d4/d4 -dDNNF /tmp/cnf/lagniez/qif/mixdup.cnf.up -out=/tmp/cnf/lagniez/qif/mixdup.cnf.unnf, done, 579686, 0.0382342,2923003274661805836407369665432566039311865085952,/capkc/build/appmc --cnf /tmp/cnf/lagniez/qif/mixdup.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 549826, 0.0343742,/capkc/build/appmc --cnf /tmp/cnf/lagniez/qif/mixdup.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 549826, 0.0341558,/capkc/build/appmc --cnf /tmp/cnf/lagniez/qif/mixdup.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 546623, 0.0351021,/capkc/build/appmc --cnf /tmp/cnf/lagniez/qif/mixdup.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 549826, 0.0331912
cnf/sundermann/systems_software/cma230/Knüppel2017.cnf,1225,2464,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/sundermann/systems_software/cma230/Knüppel2017.cnf, done, 537894, 9.02887,/d4/d4 -dDNNF /tmp/cnf/sundermann/systems_software/cma230/Knüppel2017.cnf.up -out=/tmp/cnf/sundermann/systems_software/cma230/Knüppel2017.cnf.unnf, done, 593846, 3.67492,52312258426754448493793761890686615511881351669810229756460037765755369310788278479549458844064465374001333545175330733800,/capkc/build/appmc --cnf /tmp/cnf/sundermann/systems_software/cma230/Knüppel2017.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 574324, 0.339012,/capkc/build/appmc --cnf /tmp/cnf/sundermann/systems_software/cma230/Knüppel2017.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 574324, 0.333909,/capkc/build/appmc --cnf /tmp/cnf/sundermann/systems_software/cma230/Knüppel2017.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 574324, 0.33039,/capkc/build/appmc --cnf /tmp/cnf/sundermann/systems_software/cma230/Knüppel2017.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 574324, 0.338517
cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t3.cnf,795,2424,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t3.cnf, done, 537800, 2.98808,/d4/d4 -dDNNF /tmp/cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t3.cnf.up -out=/tmp/cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t3.cnf.unnf, done, 588185, 0.574386,214422263367705878526372370065293615059127624531968,/capkc/build/appmc --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t3.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 557920, 0.122283,/capkc/build/appmc --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t3.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 745844, 0.124727,/capkc/build/appmc --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t3.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 557920, 0.124588,/capkc/build/appmc --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t3.cnf --nb 10000 --alpha 0.01 --lnb 30 --epsilon 1.1, done, 557920, 0.122175
