file,splitter_command,splitter_status,splitter_mem,splitter_time,proj_command,proj_status,proj_mem,proj_time,pd4_command,pd4_status,pd4_mem,pd4_time,pmc,ud4_command,ud4_status,ud4_mem,ud4_time,umc,appmc_command,appmc_status,appmc_mem,appmc_time,appmc_n,appmc_y,appmc_yl,appmc_yh
cnf/lagniez/Planning/pddlXpSym/emptyroom_d28_g14_corners_p_t7.cnf,/splitter/build/splitter --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d28_g14_corners_p_t7.cnf --nb 4, done, 14012, 0.115737,/projection/build/projection --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d28_g14_corners_p_t7.cnf.proj --timeout 7200, done, 19648, 0.683426,/d4/d4 -dDNNF /tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d28_g14_corners_p_t7.cnf.proj.p -out=/tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d28_g14_corners_p_t7.cnf.pnnf, done, 599080, 3.42005,26436502834977481,/d4/d4 -dDNNF /tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d28_g14_corners_p_t7.cnf.proj.pup -out=/tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d28_g14_corners_p_t7.cnf.unnf, done, 593735, 2.83351,102264823418448463189260528031728879662365518813407493867143400338168073695089183011309483645153082500710400,/build/appmc --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d28_g14_corners_p_t7.cnf --nb 10000 --alpha 0.01, done, 1178406, 17.3004,10000, 9.82751e+17, 8.33539e+17, 1.13196e+18
cnf/sundermann/systems_software/cma230/Knüppel2017.cnf,/splitter/build/splitter --cnf /tmp/cnf/sundermann/systems_software/cma230/Knüppel2017.cnf --nb 4, done, 9654, 0.0582757,/projection/build/projection --cnf /tmp/cnf/sundermann/systems_software/cma230/Knüppel2017.cnf.proj --timeout 7200, done, 8523, 0.0170756,/d4/d4 -dDNNF /tmp/cnf/sundermann/systems_software/cma230/Knüppel2017.cnf.proj.p -out=/tmp/cnf/sundermann/systems_software/cma230/Knüppel2017.cnf.pnnf, done, 584749, 0.0456633,130254843969601501548,/d4/d4 -dDNNF /tmp/cnf/sundermann/systems_software/cma230/Knüppel2017.cnf.proj.pup -out=/tmp/cnf/sundermann/systems_software/cma230/Knüppel2017.cnf.unnf, done, 585265, 0.0555605,92564585878662778369445013885236194072292186010544473535659853719528981008170836133027206849654095133109874015090884064795688960000000,/build/appmc --cnf /tmp/cnf/sundermann/systems_software/cma230/Knüppel2017.cnf --nb 10000 --alpha 0.01, done, 1154150, 0.267063,10000, 6.81839e+121, -5.10441e+121, 1.87412e+122
cnf/lagniez/Handmade/parity/par32-5.cnf,/splitter/build/splitter --cnf /tmp/cnf/lagniez/Handmade/parity/par32-5.cnf --nb 4, done, 15781, 0.186993,/projection/build/projection --cnf /tmp/cnf/lagniez/Handmade/parity/par32-5.cnf.proj --timeout 7200, done, 21442, 0.163929,/d4/d4 -dDNNF /tmp/cnf/lagniez/Handmade/parity/par32-5.cnf.proj.p -out=/tmp/cnf/lagniez/Handmade/parity/par32-5.cnf.pnnf, timeout, 120967, 3600,,/d4/d4 -dDNNF /tmp/cnf/lagniez/Handmade/parity/par32-5.cnf.proj.pup -out=/tmp/cnf/lagniez/Handmade/parity/par32-5.cnf.unnf, done, 650952, 28.8374,286538305427458915330402896778459348992,/build/appmc --cnf /tmp/cnf/lagniez/Handmade/parity/par32-5.cnf --nb 10000 --alpha 0.01, err, 21082, 0.206104,
cnf/soos/75-17-9-q.cnf.gz.no_w.cnf,/splitter/build/splitter --cnf /tmp/cnf/soos/75-17-9-q.cnf.gz.no_w.cnf --nb 4, done, 9244, 0.0308012,/projection/build/projection --cnf /tmp/cnf/soos/75-17-9-q.cnf.gz.no_w.cnf.proj --timeout 7200, done, 8318, 0.0233816,/d4/d4 -dDNNF /tmp/cnf/soos/75-17-9-q.cnf.gz.no_w.cnf.proj.p -out=/tmp/cnf/soos/75-17-9-q.cnf.gz.no_w.cnf.pnnf, done, 584503, 0.0340347,19968,/d4/d4 -dDNNF /tmp/cnf/soos/75-17-9-q.cnf.gz.no_w.cnf.proj.pup -out=/tmp/cnf/soos/75-17-9-q.cnf.gz.no_w.cnf.unnf, done, 588169, 0.64913,217327764647901735884376228537482684576559015509079127959763147156450094840678695795286273331320969476777252207261558135600619608691758879538488773484810059550172215990502245308525826306634891692269394568419570824204774972354079304853684576515249286092412155717123183761518144065105857969346366006994938535479442383180648843906646016,/build/appmc --cnf /tmp/cnf/soos/75-17-9-q.cnf.gz.no_w.cnf --nb 10000 --alpha 0.01, done, 1161216, 6.78244,10000, 3.38347e+327, 3.29272e+327, 3.47421e+327
cnf/plazar/Blasted_Real/blasted_case58.cnf,/splitter/build/splitter --cnf /tmp/cnf/plazar/Blasted_Real/blasted_case58.cnf --nb 4, done, 7426, 0.0170093,/projection/build/projection --cnf /tmp/cnf/plazar/Blasted_Real/blasted_case58.cnf.proj --timeout 7200, done, 6791, 0.00857244,/d4/d4 -dDNNF /tmp/cnf/plazar/Blasted_Real/blasted_case58.cnf.proj.p -out=/tmp/cnf/plazar/Blasted_Real/blasted_case58.cnf.pnnf, done, 583888, 0.0350355,2760,/d4/d4 -dDNNF /tmp/cnf/plazar/Blasted_Real/blasted_case58.cnf.proj.pup -out=/tmp/cnf/plazar/Blasted_Real/blasted_case58.cnf.unnf, done, 583942, 0.033972,1420820480,/build/appmc --cnf /tmp/cnf/plazar/Blasted_Real/blasted_case58.cnf --nb 10000 --alpha 0.01, done, 1153605, 0.0608135,10000, 35232.6, 34701, 35764.2
cnf/plazar/V3/s27_new_3_2.cnf,/splitter/build/splitter --cnf /tmp/cnf/plazar/V3/s27_new_3_2.cnf --nb 4, done, 7114, 0.0127806,/projection/build/projection --cnf /tmp/cnf/plazar/V3/s27_new_3_2.cnf.proj --timeout 7200, done, 6656, 0.00750821,/d4/d4 -dDNNF /tmp/cnf/plazar/V3/s27_new_3_2.cnf.proj.p -out=/tmp/cnf/plazar/V3/s27_new_3_2.cnf.pnnf, done, 583647, 0.0307866,8,/d4/d4 -dDNNF /tmp/cnf/plazar/V3/s27_new_3_2.cnf.proj.pup -out=/tmp/cnf/plazar/V3/s27_new_3_2.cnf.unnf, done, 583643, 0.0307796,384,/build/appmc --cnf /tmp/cnf/plazar/V3/s27_new_3_2.cnf --nb 10000 --alpha 0.01, done, 1153605, 0.0535822,10000, 48.0408, 47.2862, 48.7954
cnf/soos/or-60-5-3.cnf.gz.no_w.cnf,/splitter/build/splitter --cnf /tmp/cnf/soos/or-60-5-3.cnf.gz.no_w.cnf --nb 4, done, 7409, 0.0233555,/projection/build/projection --cnf /tmp/cnf/soos/or-60-5-3.cnf.gz.no_w.cnf.proj --timeout 7200, done, 6930, 0.00853271,/d4/d4 -dDNNF /tmp/cnf/soos/or-60-5-3.cnf.gz.no_w.cnf.proj.p -out=/tmp/cnf/soos/or-60-5-3.cnf.gz.no_w.cnf.pnnf, done, 606068, 2.35434,288230376151711744,/d4/d4 -dDNNF /tmp/cnf/soos/or-60-5-3.cnf.gz.no_w.cnf.proj.pup -out=/tmp/cnf/soos/or-60-5-3.cnf.gz.no_w.cnf.unnf, done, 583884, 0.0329925,20282409603651670423947251286016,/build/appmc --cnf /tmp/cnf/soos/or-60-5-3.cnf.gz.no_w.cnf --nb 10000 --alpha 0.01, done, 1204686, 0.521161,10000, 1.94125e+18, -5.55239e+16, 3.93801e+18
cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf,/splitter/build/splitter --cnf /tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf --nb 4, done, 7983, 0.02128,/projection/build/projection --cnf /tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf.proj --timeout 7200, done, 7348, 0.0096332,/d4/d4 -dDNNF /tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf.proj.p -out=/tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf.pnnf, done, 584052, 0.0339933,2415919104,/d4/d4 -dDNNF /tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf.proj.pup -out=/tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf.unnf, done, 584654, 0.0678401,153914086704665934422965000391185991426092731525255651046673021110334850669910978950836977558144201721900890587136,/build/appmc --cnf /tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf --nb 10000 --alpha 0.01, done, 1154441, 0.599112,10000, 2.34642e+108, 2.30022e+108, 2.39263e+108
cnf/soos/blasted_case38.cnf.gz.no_w.cnf,/splitter/build/splitter --cnf /tmp/cnf/soos/blasted_case38.cnf.gz.no_w.cnf --nb 4, done, 7626, 0.0255044,/projection/build/projection --cnf /tmp/cnf/soos/blasted_case38.cnf.gz.no_w.cnf.proj --timeout 7200, done, 7061, 0.00961644,/d4/d4 -dDNNF /tmp/cnf/soos/blasted_case38.cnf.gz.no_w.cnf.proj.p -out=/tmp/cnf/soos/blasted_case38.cnf.gz.no_w.cnf.pnnf, done, 584126, 0.0393019,3242,/d4/d4 -dDNNF /tmp/cnf/soos/blasted_case38.cnf.gz.no_w.cnf.proj.pup -out=/tmp/cnf/soos/blasted_case38.cnf.gz.no_w.cnf.unnf, done, 583962, 0.0340532,15579707514929220157440,/build/appmc --cnf /tmp/cnf/soos/blasted_case38.cnf.gz.no_w.cnf --nb 10000 --alpha 0.01, done, 1153740, 0.0839501,10000, 4133.85, 4067.88, 4199.82
cnf/plazar/Blasted_Real/blasted_case105.cnf,/splitter/build/splitter --cnf /tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf --nb 4, done, 7553, 0.021313,/projection/build/projection --cnf /tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf.proj --timeout 7200, done, 6930, 0.00857355,/d4/d4 -dDNNF /tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf.proj.p -out=/tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf.pnnf, done, 583913, 0.031888,2247,/d4/d4 -dDNNF /tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf.proj.pup -out=/tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf.unnf, done, 584019, 0.0403243,57069614478038925312,/build/appmc --cnf /tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf --nb 10000 --alpha 0.01, done, 1153740, 0.166353,10000, 2.06887e+12, 1.645e+12, 2.49275e+12
