file,r1_command,r1_status,r1_mem,r1_time,r1_amc,r2_command,r2_status,r2_mem,r2_time,r2_amc,r3_command,r3_status,r3_mem,r3_time,r3_amc,r4_command,r4_status,r4_mem,r4_time,r4_amc
cnf/lagniez/Planning/pddlXpSym/sort_num_s_7_p_t4.cnf,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 7192 /tmp/cnf/lagniez/Planning/pddlXpSym/sort_num_s_7_p_t4.cnf,done,49098,10.2331,130856590772877131776,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 29523 /tmp/cnf/lagniez/Planning/pddlXpSym/sort_num_s_7_p_t4.cnf,done,49098,9.63644,132009512277483978752,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 21003 /tmp/cnf/lagniez/Planning/pddlXpSym/sort_num_s_7_p_t4.cnf,done,55156,9.7678,142962266571249025024,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 31780 /tmp/cnf/lagniez/Planning/pddlXpSym/sort_num_s_7_p_t4.cnf,done,49098,9.8342,130856590772877131776
cnf/lagniez/Planning/pddlXpSym/bomb_b20_t5_p_t4.cnf,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 30101 /tmp/cnf/lagniez/Planning/pddlXpSym/bomb_b20_t5_p_t4.cnf,done,540467,252.867,17998586564903860449991761346187827001018803736885836297052825112141279575297197339782562067773039865313740672838265009643588987349879619418125613978031306950205637587125181398416327823822078283670907176612926049949377927705679351529627325557910687760839879623837369346848070114719458364668347831470553192413380028936404785839362912214258539974849883826088477631012221158375426967817135138016112918943852067159592100875073339853256117131339064484262527935269106211825671960653502921513279168988784664828718640960357972873677085702042257959641890777038101791561983326547181434495415594156846004898201640628403578837213654835136775382631192049132000195962627724647468714476517390364948746752363485292055805520608487889454067705392372636497327155363618964791654154910538750512830252432955441412645681331437568,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 6246 /tmp/cnf/lagniez/Planning/pddlXpSym/bomb_b20_t5_p_t4.cnf,done,541057,248.559,17998586564903860449991761346187827001018803736885836297052825112141279575297197339782562067773039865313740672838265009643588987349879619418125613978031306950205637587125181398416327823822078283670907176612926049949377927705679351529627325557910687760839879623837369346848070114719458364668347831470553192413380028936404785839362912214258539974849883826088477631012221158375426967817135138016112918943852067159592100875073339853256117131339064484262527935269106211825671960653502921513279168988784664828718640960357972873677085702042257959641890777038101791561983326547181434495415594156846004898201640628403578837213654835136775382631192049132000195962627724647468714476517390364948746752363485292055805520608487889454067705392372636497327155363618964791654154910538750512830252432955441412645681331437568,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 9230 /tmp/cnf/lagniez/Planning/pddlXpSym/bomb_b20_t5_p_t4.cnf,done,541921,251.391,17998586564903860449991761346187827001018803736885836297052825112141279575297197339782562067773039865313740672838265009643588987349879619418125613978031306950205637587125181398416327823822078283670907176612926049949377927705679351529627325557910687760839879623837369346848070114719458364668347831470553192413380028936404785839362912214258539974849883826088477631012221158375426967817135138016112918943852067159592100875073339853256117131339064484262527935269106211825671960653502921513279168988784664828718640960357972873677085702042257959641890777038101791561983326547181434495415594156846004898201640628403578837213654835136775382631192049132000195962627724647468714476517390364948746752363485292055805520608487889454067705392372636497327155363618964791654154910538750512830252432955441412645681331437568,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 27569 /tmp/cnf/lagniez/Planning/pddlXpSym/bomb_b20_t5_p_t4.cnf,done,540819,254.874,17998586564903860449991761346187827001018803736885836297052825112141279575297197339782562067773039865313740672838265009643588987349879619418125613978031306950205637587125181398416327823822078283670907176612926049949377927705679351529627325557910687760839879623837369346848070114719458364668347831470553192413380028936404785839362912214258539974849883826088477631012221158375426967817135138016112918943852067159592100875073339853256117131339064484262527935269106211825671960653502921513279168988784664828718640960357972873677085702042257959641890777038101791561983326547181434495415594156846004898201640628403578837213654835136775382631192049132000195962627724647468714476517390364948746752363485292055805520608487889454067705392372636497327155363618964791654154910538750512830252432955441412645681331437568
cnf/lagniez/Planning/pddlXpSym/emptyroom_d28_g14_corners_p_t7.cnf,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 2958 /tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d28_g14_corners_p_t7.cnf,done,68583,415.893,1098878309078401024,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 10477 /tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d28_g14_corners_p_t7.cnf,done,53026,447.737,1031324314667843584,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 17068 /tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d28_g14_corners_p_t7.cnf,done,53547,427.571,1112389107960512512,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 12516 /tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d28_g14_corners_p_t7.cnf,done,47251,470.833,1143914305352105984
cnf/soos/75-17-9-q.cnf.gz.no_w.cnf,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 11036 /tmp/cnf/soos/75-17-9-q.cnf.gz.no_w.cnf,done,32436,1.77743,3342066006610312930236403165022762574002279400905514658309155223748929766946739167880049855678129799664529029695599198280868521871714221890028125259821474275824095709654663758850077580637443188226551043906941966572095867566308525839582122608478922594299455653132068002848129342126686057811460639822762855419736870220935785873408,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 3425 /tmp/cnf/soos/75-17-9-q.cnf.gz.no_w.cnf,done,32428,1.78448,3303204773975309291512724058452730451048764524150799371584630163007663141749684061276793462007453871761453110745650370393881678594136149542469658687032852481919164364193563017468099934350961290689033008512675199518931962129490984841447446764194283959482020122281695119094081326520561801325280864941102822217181790334645834874880,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 6063 /tmp/cnf/soos/75-17-9-q.cnf.gz.no_w.cnf,done,32440,1.77145,3329112262398645050661843462832751866351107775320609562734313536835174225214387465678964391121237823696837056712282922318539574112521531107508636402225267011189118594500963511722751698541949222380711698775519710887707899087369345506870563993717376382693643809515277041596780003591311305649400714862209511018885176925505802207232,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 26198 /tmp/cnf/soos/75-17-9-q.cnf.gz.no_w.cnf,done,32411,1.78683,3329112262398645050661843462832751866351107775320609562734313536835174225214387465678964391121237823696837056712282922318539574112521531107508636402225267011189118594500963511722751698541949222380711698775519710887707899087369345506870563993717376382693643809515277041596780003591311305649400714862209511018885176925505802207232
cnf/plazar/Blasted_Real/blasted_case58.cnf,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 23773 /tmp/cnf/plazar/Blasted_Real/blasted_case58.cnf,done,14991,0.0530675,35328,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 9542 /tmp/cnf/plazar/Blasted_Real/blasted_case58.cnf,done,14991,0.0520707,35328,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 29763 /tmp/cnf/plazar/Blasted_Real/blasted_case58.cnf,done,14991,0.0551803,35328,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 19818 /tmp/cnf/plazar/Blasted_Real/blasted_case58.cnf,done,14991,0.0533936,35328
cnf/plazar/V3/s27_new_3_2.cnf,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 13124 /tmp/cnf/plazar/V3/s27_new_3_2.cnf,done,14991,0.00221844,,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 8029 /tmp/cnf/plazar/V3/s27_new_3_2.cnf,done,14991,0.00223122,,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 8033 /tmp/cnf/plazar/V3/s27_new_3_2.cnf,done,14991,0.00222256,,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 13180 /tmp/cnf/plazar/V3/s27_new_3_2.cnf,done,14991,0.0022064,
cnf/soos/or-60-5-3.cnf.gz.no_w.cnf,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 18289 /tmp/cnf/soos/or-60-5-3.cnf.gz.no_w.cnf,done,14991,0.190833,1152921504606846976,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 25838 /tmp/cnf/soos/or-60-5-3.cnf.gz.no_w.cnf,done,14991,0.193074,1152921504606846976,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 2760 /tmp/cnf/soos/or-60-5-3.cnf.gz.no_w.cnf,done,14991,0.188937,1152921504606846976,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 15378 /tmp/cnf/soos/or-60-5-3.cnf.gz.no_w.cnf,done,14991,0.195088,1152921504606846976
cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 31422 /tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf,done,29474,1.69823,2348542582773833227889480596789337027375682548908319870707290971532209025114608443463698998384768703031934976,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 22676 /tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf,done,29425,1.59975,2321020599381952369750150746045711984086123769038300497222439905459565950601546625766858775747447194793279488,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 28894 /tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf,done,29446,1.60072,2394412555093634658121697014695378766191613848691685493182042748319947482636378139625099369446971216763027456,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 30432 /tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf,done,29458,1.61871,2357716577237793513935923880370545375138868808864992995202241326889756716618962382695979072597209205778153472
cnf/soos/blasted_case38.cnf.gz.no_w.cnf,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 28058 /tmp/cnf/soos/blasted_case38.cnf.gz.no_w.cnf,done,14991,0.0489743,4096,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 14452 /tmp/cnf/soos/blasted_case38.cnf.gz.no_w.cnf,done,14991,0.0491298,4096,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 5820 /tmp/cnf/soos/blasted_case38.cnf.gz.no_w.cnf,done,14991,0.0479428,4096,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 17012 /tmp/cnf/soos/blasted_case38.cnf.gz.no_w.cnf,done,14991,0.0502113,4096
cnf/plazar/Blasted_Real/blasted_case105.cnf,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 1517 /tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf,done,14991,0.165248,2199023255552,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 29379 /tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf,done,14991,0.164197,2199023255552,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 5502 /tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf,done,14991,0.162789,2199023255552,/home/users/ozeyen/approxmc -d 0.2 -e 0.2 -s 22976 /tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf,done,14991,0.168516,2199023255552
