file,nbv,nbc,ck_command,ck_status,ck_mem,ck_time,ck_d4_command,ck_d4_status,ck_d4_mem,ck_d4_time,mc,ck_amc_command,ck_amc_status,ck_amc_mem,ck_amc_time,ck_amc_n,ck_amc_nsuccess,ck_amc_y,ck_amc_yl,ck_amc_yh
cnf/soos/blasted_case38.cnf.gz.no_w.cnf,143,568,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/soos/blasted_case38.cnf.gz.no_w.cnf, done, 536424, 0.29399,/d4/d4 -dDNNF /tmp/cnf/soos/blasted_case38.cnf.gz.no_w.cnf.up -out=/tmp/cnf/soos/blasted_case38.cnf.gz.no_w.cnf.unnf, done, 580046, 0.0510211,4096,/capkc/build/appmc --cnf /tmp/cnf/soos/blasted_case38.cnf.gz.no_w.cnf --nb 10000 --alpha 0.01, done, 549838, 0.0645563,10000, 10000, 4096, 4093.28, 4096
cnf/plazar/Blasted_Real/blasted_case105.cnf,170,407,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf, done, 536367, 0.202455,/d4/d4 -dDNNF /tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf.up -out=/tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf.unnf, done, 580108, 0.0533724,2199023255552,/capkc/build/appmc --cnf /tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf --nb 10000 --alpha 0.01, done, 549982, 0.0754056,10000, 10000, 2.19902e+12, 2.19757e+12, 2.19902e+12
cnf/soos/or-50-10-4-UC-30.cnf.gz.no_w.cnf,100,250,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/soos/or-50-10-4-UC-30.cnf.gz.no_w.cnf, done, 536231, 0.188171,/d4/d4 -dDNNF /tmp/cnf/soos/or-50-10-4-UC-30.cnf.gz.no_w.cnf.up -out=/tmp/cnf/soos/or-50-10-4-UC-30.cnf.gz.no_w.cnf.unnf, done, 583962, 0.044695,51380224,/capkc/build/appmc --cnf /tmp/cnf/soos/or-50-10-4-UC-30.cnf.gz.no_w.cnf --nb 10000 --alpha 0.01, done, 549695, 0.0653339,10000, 10000, 5.13802e+07, 5.13462e+07, 5.13802e+07
cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-2-UC-40.cnf,140,350,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-2-UC-40.cnf, done, 536367, 0.210475,/d4/d4 -dDNNF /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-2-UC-40.cnf.up -out=/tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-2-UC-40.cnf.unnf, done, 584323, 0.0567673,114520227840,/capkc/build/appmc --cnf /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-2-UC-40.cnf --nb 10000 --alpha 0.01, done, 550117, 0.0653977,10000, 10000, 1.1452e+11, 1.14444e+11, 1.1452e+11
cnf/soos/or-70-20-1-UC-40.cnf.gz.no_w.cnf,140,350,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/soos/or-70-20-1-UC-40.cnf.gz.no_w.cnf, done, 536367, 0.279472,/d4/d4 -dDNNF /tmp/cnf/soos/or-70-20-1-UC-40.cnf.gz.no_w.cnf.up -out=/tmp/cnf/soos/or-70-20-1-UC-40.cnf.gz.no_w.cnf.unnf, done, 585629, 0.150119,254775263232,/capkc/build/appmc --cnf /tmp/cnf/soos/or-70-20-1-UC-40.cnf.gz.no_w.cnf --nb 10000 --alpha 0.01, done, 553050, 0.0997883,10000, 10000, 2.54775e+11, 2.54606e+11, 2.54775e+11
cnf/lagniez/Planning/pddlXpSym/emptyroom_d8_g4_p_t10.cnf,776,2582,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d8_g4_p_t10.cnf, done, 537784, 7.99879,/d4/d4 -dDNNF /tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d8_g4_p_t10.cnf.up -out=/tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d8_g4_p_t10.cnf.unnf, done, 585924, 1.68778,8739644651521,/capkc/build/appmc --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d8_g4_p_t10.cnf --nb 10000 --alpha 0.01, done, 557522, 0.197576,10000, 10000, 8.73964e+12, 8.73385e+12, 8.73964e+12
cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf,460,720,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf, done, 536657, 6.4292,/d4/d4 -dDNNF /tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf.up -out=/tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf.unnf, done, 590045, 1.39369,2348542582773833227889480596789337027375682548908319870707290971532209025114608443463698998384768703031934976,/capkc/build/appmc --cnf /tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf --nb 10000 --alpha 0.01, done, 563441, 0.280903,10000, 10000, 2.34854e+108, 2.34699e+108, 2.34854e+108
cnf/lagniez/qif/mixdup.cnf,309,452,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/lagniez/qif/mixdup.cnf, done, 536637, 0.246254,/d4/d4 -dDNNF /tmp/cnf/lagniez/qif/mixdup.cnf.up -out=/tmp/cnf/lagniez/qif/mixdup.cnf.unnf, done, 579682, 0.038354,2923003274661805836407369665432566039311865085952,/capkc/build/appmc --cnf /tmp/cnf/lagniez/qif/mixdup.cnf --nb 10000 --alpha 0.01, done, 549834, 0.0769135,10000, 10000, 2.923e+48, 2.92107e+48, 2.923e+48
cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-20-7-UC-40.cnf,200,500,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-20-7-UC-40.cnf, done, 536502, 4.17489,/d4/d4 -dDNNF /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-20-7-UC-40.cnf.up -out=/tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-20-7-UC-40.cnf.unnf, done, 605315, 2.58162,109819803450998784,/capkc/build/appmc --cnf /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-20-7-UC-40.cnf --nb 10000 --alpha 0.01, done, 601010, 0.632406,10000, 10000, 1.0982e+17, 1.09747e+17, 1.0982e+17
cnf/sundermann/systems_software/cma230/Knüppel2017.cnf,1225,2464,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/sundermann/systems_software/cma230/Knüppel2017.cnf, done, 537894, 10.6819,/d4/d4 -dDNNF /tmp/cnf/sundermann/systems_software/cma230/Knüppel2017.cnf.up -out=/tmp/cnf/sundermann/systems_software/cma230/Knüppel2017.cnf.unnf, done, 593846, 3.63936,52312258426754448493793761890686615511881351669810229756460037765755369310788278479549458844064465374001333545175330733800,/capkc/build/appmc --cnf /tmp/cnf/sundermann/systems_software/cma230/Knüppel2017.cnf --nb 10000 --alpha 0.01, done, 909869, 0.52032,10000, 10000, 5.23123e+121, 5.22776e+121, 5.23123e+121
