file,nbv,nbc,capkc_command,capkc_status,capkc_mem,capkc_time,d4_command,d4_status,d4_mem,d4_time,d4_ign_command,d4_ign_status,d4_ign_mem,d4_ign_time,sampler_command,sampler_status,sampler_mem,sampler_time,umc,ign_mc,ign_nbv,ign_nbc,up_nbv,up_nbc
cnf/sundermann/systems_software/cma230/Knüppel2017.cnf,1225,2464,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/sundermann/systems_software/cma230/Knüppel2017.cnf, done, 537894, 11.311,/d4/d4 -dDNNF /tmp/cnf/sundermann/systems_software/cma230/Knüppel2017.cnf.up -out=/tmp/cnf/sundermann/systems_software/cma230/Knüppel2017.cnf.unnf, done, 593846, 3.60323,/d4/d4 -dDNNF /tmp/cnf/sundermann/systems_software/cma230/Knüppel2017.cnf.ign -out=/tmp/cnf/sundermann/systems_software/cma230/Knüppel2017.cnf.unnf, done, 584171, 0.0308288,/capkc/build/sampler --n 1000 --cnf /tmp/cnf/sundermann/systems_software/cma230/Knüppel2017.cnf, done, 561045, 0.339431,52312258426754448493793761890686615511881351669810229756460037765755369310788278479549458844064465374001333545175330733800,577756298062692634882899796320514825754569701436275375467883216895815138273904148947370775875738379270397749529435460924064103319004651876830131274380548720588597872393444873405265091429549226291371123473288851713585905064826579939194634093737504859185768962010552087157267774632410684258267121287728707126733386345748295699714571521040271552753678267463143641875218432,1225,0,1225,2328
cnf/lagniez/Planning/pddlXpSym/emptyroom_d28_g14_corners_p_t7.cnf,1988,6850,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d28_g14_corners_p_t7.cnf, done, 542138, 184.477,/d4/d4 -dDNNF /tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d28_g14_corners_p_t7.cnf.up -out=/tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d28_g14_corners_p_t7.cnf.unnf, done, 729763, 64.3273,/d4/d4 -dDNNF /tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d28_g14_corners_p_t7.cnf.ign -out=/tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d28_g14_corners_p_t7.cnf.unnf, done, 584704, 0.0604075,/capkc/build/sampler --n 1000 --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d28_g14_corners_p_t7.cnf, timeout, 738488, 18000,80986225799987399783022040,164101838042241024245339301322126244817328761136904764923415878529170227047423782802564030814005267110710275533141126606635721012105571273684927960255250058496613093881876300156392078293667974252852517547434274857862109726228853889759015381654139056317544852819924364087110643691195244442783730894353199828672842689167363894052315359829002487624054809731107287859079016873561811845603750869374779868638771581463477132605625506496276772613888523825997960455033250106978861978426842659375812510646407763315710908903831383520878150443048647803500597494093934065393901178533720859860864644129990115328,1988,127,1988,6723
cnf/lagniez/Handmade/parity/par32-5.cnf,3176,10325,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/lagniez/Handmade/parity/par32-5.cnf, done, 548397, 246.869,/d4/d4 -dDNNF /tmp/cnf/lagniez/Handmade/parity/par32-5.cnf.up -out=/tmp/cnf/lagniez/Handmade/parity/par32-5.cnf.unnf, done, 665219, 52.8155,/d4/d4 -dDNNF /tmp/cnf/lagniez/Handmade/parity/par32-5.cnf.ign -out=/tmp/cnf/lagniez/Handmade/parity/par32-5.cnf.unnf, done, 585334, 0.0500503,/capkc/build/sampler --n 1000 --cnf /tmp/cnf/lagniez/Handmade/parity/par32-5.cnf, timeout, 1139052, 18000,25855575031216310539426456417491296232183769894859058303774837595360050429296640,11504169698831891169096549010798668379274405134737495405341432113079578429082038959435808290629595161966699358223912283855894542462560339338016837812051857115488867144586155886047006170108379789283774531911485232535217271858768508004246450849225488466907902504252802030936915530388469970437083171270387446110164705178308113725169353948278343568889657320753411105038664980419446498094225349151659625893452928272406157704152400957205616973033343430492646861510472699582784459842256442620787452282908297059347265646518867341985310505112041670935229692116389345641113009572488240515788733694380005070778368276851836838801044442009246129718014711943842297664001689854369594934759207523650421325725375742572209722582078926500513743176193381131059358845624596794416337948197828497163098916004003544533842600219076282250788054201730636176085806942958103084925475077621887046418000070574080,3176,972,3176,7139
cnf/plazar/Blasted_Real/blasted_case58.cnf,96,299,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/plazar/Blasted_Real/blasted_case58.cnf, done, 536231, 0.190175,/d4/d4 -dDNNF /tmp/cnf/plazar/Blasted_Real/blasted_case58.cnf.up -out=/tmp/cnf/plazar/Blasted_Real/blasted_case58.cnf.unnf, done, 579796, 0.0392853,/d4/d4 -dDNNF /tmp/cnf/plazar/Blasted_Real/blasted_case58.cnf.ign -out=/tmp/cnf/plazar/Blasted_Real/blasted_case58.cnf.unnf, done, 583720, 0.0339875,/capkc/build/sampler --n 1000 --cnf /tmp/cnf/plazar/Blasted_Real/blasted_case58.cnf, done, 536313, 0.023406,35328,79228162514264337593543950336,96,0,96,223
cnf/plazar/V3/s27_new_3_2.cnf,17,31,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/plazar/V3/s27_new_3_2.cnf, done, 536223, 0.135151,/d4/d4 -dDNNF /tmp/cnf/plazar/V3/s27_new_3_2.cnf.up -out=/tmp/cnf/plazar/V3/s27_new_3_2.cnf.unnf, done, 583835, 0.0360994,/d4/d4 -dDNNF /tmp/cnf/plazar/V3/s27_new_3_2.cnf.ign -out=/tmp/cnf/plazar/V3/s27_new_3_2.cnf.unnf, done, 583663, 0.0339707,/capkc/build/sampler --n 1000 --cnf /tmp/cnf/plazar/V3/s27_new_3_2.cnf, done, 536178, 0.0205147,48,131072,17,0,17,25
cnf/soos/75-17-9-q.cnf.gz.no_w.cnf,1377,2176,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/soos/75-17-9-q.cnf.gz.no_w.cnf, done, 537518, 40.7441,/d4/d4 -dDNNF /tmp/cnf/soos/75-17-9-q.cnf.gz.no_w.cnf.up -out=/tmp/cnf/soos/75-17-9-q.cnf.gz.no_w.cnf.unnf, done, 635699, 14.9161,/d4/d4 -dDNNF /tmp/cnf/soos/75-17-9-q.cnf.gz.no_w.cnf.ign -out=/tmp/cnf/soos/75-17-9-q.cnf.gz.no_w.cnf.unnf, done, 584175, 0.0425427,/capkc/build/sampler --n 1000 --cnf /tmp/cnf/soos/75-17-9-q.cnf.gz.no_w.cnf, done, 641224, 1.36325,3316158518186977171087283760642741158699936149735704467159471849921418683482035763477878926564345847729145083728966646356210626353328840324989147544629059746554141479347263264595425816446455256534872353644097455203319930608430165174159005378955830171087831965898486080345430665055936553487340789901656166618033483630075818541056,3298405373425259607612126134261475101689362001024197807662624517517639999039318430122489705670876658586191836853742515309796994372961355114600256703073105446567663412240797298429510469622379684047677320627272316853312544849439294149072316235192852913943993269545876245371820851194149985895112626887105465598514543051811148346637181128888656458006145788379647701072094435487919824999644248566817941905406544442294272,1377,0,1377,1363
cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf,460,720,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf, done, 536657, 6.3259,/d4/d4 -dDNNF /tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf.up -out=/tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf.unnf, done, 590045, 1.34248,/d4/d4 -dDNNF /tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf.ign -out=/tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf.unnf, done, 583864, 0.0350202,/capkc/build/sampler --n 1000 --cnf /tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf, done, 617271, 0.191114,2348542582773833227889480596789337027375682548908319870707290971532209025114608443463698998384768703031934976,2977131414714805823690030317109266572712515013375254774912983855843898524112477893944078543723575564536883288499266264815757728270805630976,460,0,460,557
cnf/soos/blasted_case38.cnf.gz.no_w.cnf,143,568,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/soos/blasted_case38.cnf.gz.no_w.cnf, done, 536424, 0.300957,/d4/d4 -dDNNF /tmp/cnf/soos/blasted_case38.cnf.gz.no_w.cnf.up -out=/tmp/cnf/soos/blasted_case38.cnf.gz.no_w.cnf.unnf, done, 580042, 0.0456025,/d4/d4 -dDNNF /tmp/cnf/soos/blasted_case38.cnf.gz.no_w.cnf.ign -out=/tmp/cnf/soos/blasted_case38.cnf.gz.no_w.cnf.unnf, done, 583741, 0.0361125,/capkc/build/sampler --n 1000 --cnf /tmp/cnf/soos/blasted_case38.cnf.gz.no_w.cnf, done, 536584, 0.0224453,4096,11150372599265311570767859136324180752990208,143,0,143,455
cnf/plazar/Blasted_Real/blasted_case105.cnf,170,407,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf, done, 536367, 0.212141,/d4/d4 -dDNNF /tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf.up -out=/tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf.unnf, done, 580108, 0.054074,/d4/d4 -dDNNF /tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf.ign -out=/tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf.unnf, done, 583749, 0.0339701,/capkc/build/sampler --n 1000 --cnf /tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf, done, 536743, 0.0291103,2199023255552,1496577676626844588240573268701473812127674924007424,170,0,170,354
cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-20-7-UC-40.cnf,200,500,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-20-7-UC-40.cnf, done, 536502, 4.46435,/d4/d4 -dDNNF /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-20-7-UC-40.cnf.up -out=/tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-20-7-UC-40.cnf.unnf, done, 605319, 2.50166,/d4/d4 -dDNNF /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-20-7-UC-40.cnf.ign -out=/tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-20-7-UC-40.cnf.unnf, done, 583761, 0.0361644,/capkc/build/sampler --n 1000 --cnf /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-20-7-UC-40.cnf, done, 587730, 0.56707,109819803450998784,1606938044258990275541962092341162602522202993782792835301376,200,0,200,310
cnf/soos/or-50-10-4-UC-30.cnf.gz.no_w.cnf,100,250,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/soos/or-50-10-4-UC-30.cnf.gz.no_w.cnf, done, 536231, 0.187996,/d4/d4 -dDNNF /tmp/cnf/soos/or-50-10-4-UC-30.cnf.gz.no_w.cnf.up -out=/tmp/cnf/soos/or-50-10-4-UC-30.cnf.gz.no_w.cnf.unnf, done, 583962, 0.0467383,/d4/d4 -dDNNF /tmp/cnf/soos/or-50-10-4-UC-30.cnf.gz.no_w.cnf.ign -out=/tmp/cnf/soos/or-50-10-4-UC-30.cnf.gz.no_w.cnf.unnf, done, 583720, 0.0339589,/capkc/build/sampler --n 1000 --cnf /tmp/cnf/soos/or-50-10-4-UC-30.cnf.gz.no_w.cnf, done, 536449, 0.0248875,51380224,1267650600228229401496703205376,100,0,100,147
cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t5.cnf,1275,4032,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t5.cnf, done, 538943, 12.9509,/d4/d4 -dDNNF /tmp/cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t5.cnf.up -out=/tmp/cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t5.cnf.unnf, done, 599793, 3.82548,/d4/d4 -dDNNF /tmp/cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t5.cnf.ign -out=/tmp/cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t5.cnf.unnf, done, 584175, 0.0360905,/capkc/build/sampler --n 1000 --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t5.cnf, done, 565915, 0.399022,174658600280016239740483697612234749933289002906194171778420021456273408,650495762166524942620327520460255346163453890454169050332444521900225503729585018625764965108270261552651350872142562986961472890520216556758744162854832547682758094336826271610823959353848971904559963784230613200730854821721779929185156336527391268233271805331947551783651036564265975291639051993182425115441763887696282564168652218045809876804878179358511681294670044409731448045568,1275,0,1275,3888
