file,nbv,nbc,ck_command,ck_status,ck_mem,ck_time,ck_d4_command,ck_d4_status,ck_d4_mem,ck_d4_time,ck_s_command,ck_s_status,ck_s_mem,ck_s_time,ck_umc,d4d_command,d4d_status,d4d_mem,d4d_time,d4d_s_command,d4d_s_status,d4d_s_mem,d4d_s_time,d4d_umc
cnf/soos/or-70-10-8-UC-10.cnf.gz.no_w.cnf,140,350,,/d4/d4 -dDNNF /tmp/cnf/soos/or-70-10-8-UC-10.cnf.gz.no_w.cnf.up -out=/tmp/cnf/soos/or-70-10-8-UC-10.cnf.gz.no_w.cnf.unnf, done, 7729, 0.0138727,/dnf/build/sampler --n 1000 --cnf /tmp/cnf/soos/or-70-10-8-UC-10.cnf.gz.no_w.cnf, err, 8695, 0.277719,,/d4/d4 -dDNNF /tmp/cnf/soos/or-70-10-8-UC-10.cnf.gz.no_w.cnf.smp -out=/tmp/cnf/soos/or-70-10-8-UC-10.cnf.gz.no_w.cnf.unnf -max-depth=19, done, 596254, 1.28522,/dnf/build/sampler --n 1000 --cnf /tmp/cnf/soos/or-70-10-8-UC-10.cnf.gz.no_w.cnf, done, 564989, 31.9341,3961140628657930240
cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-2-UC-40.cnf,140,350,,/d4/d4 -dDNNF /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-2-UC-40.cnf.up -out=/tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-2-UC-40.cnf.unnf, done, 7729, 0.0138847,/dnf/build/sampler --n 1000 --cnf /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-2-UC-40.cnf, err, 8695, 0.232098,,/d4/d4 -dDNNF /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-2-UC-40.cnf.smp -out=/tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-2-UC-40.cnf.unnf -max-depth=19, done, 584327, 0.0572677,/dnf/build/sampler --n 1000 --cnf /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-2-UC-40.cnf, done, 537755, 0.0287649,114520227840
cnf/soos/or-70-20-1-UC-40.cnf.gz.no_w.cnf,140,350,,/d4/d4 -dDNNF /tmp/cnf/soos/or-70-20-1-UC-40.cnf.gz.no_w.cnf.up -out=/tmp/cnf/soos/or-70-20-1-UC-40.cnf.gz.no_w.cnf.unnf, done, 7729, 0.0138816,/dnf/build/sampler --n 1000 --cnf /tmp/cnf/soos/or-70-20-1-UC-40.cnf.gz.no_w.cnf, err, 8695, 0.222921,,/d4/d4 -dDNNF /tmp/cnf/soos/or-70-20-1-UC-40.cnf.gz.no_w.cnf.smp -out=/tmp/cnf/soos/or-70-20-1-UC-40.cnf.gz.no_w.cnf.unnf -max-depth=19, done, 585523, 0.153763,/dnf/build/sampler --n 1000 --cnf /tmp/cnf/soos/or-70-20-1-UC-40.cnf.gz.no_w.cnf, done, 540798, 0.0533154,254775263232
cnf/lagniez/Planning/pddlXpSym/uts_k2_p_t2.cnf,227,771,,/d4/d4 -dDNNF /tmp/cnf/lagniez/Planning/pddlXpSym/uts_k2_p_t2.cnf.up -out=/tmp/cnf/lagniez/Planning/pddlXpSym/uts_k2_p_t2.cnf.unnf, done, 7729, 0.0139045,/dnf/build/sampler --n 1000 --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/uts_k2_p_t2.cnf, err, 8695, 0.205319,,/d4/d4 -dDNNF /tmp/cnf/lagniez/Planning/pddlXpSym/uts_k2_p_t2.cnf.smp -out=/tmp/cnf/lagniez/Planning/pddlXpSym/uts_k2_p_t2.cnf.unnf -max-depth=19, done, 585904, 0.513967,/dnf/build/sampler --n 1000 --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/uts_k2_p_t2.cnf, done, 540966, 1590.7,8275770210451328
cnf/lagniez/qif/mixdup.cnf,309,452,,/d4/d4 -dDNNF /tmp/cnf/lagniez/qif/mixdup.cnf.up -out=/tmp/cnf/lagniez/qif/mixdup.cnf.unnf, done, 7729, 0.0149785,/dnf/build/sampler --n 1000 --cnf /tmp/cnf/lagniez/qif/mixdup.cnf, err, 8695, 0.259297,,/d4/d4 -dDNNF /tmp/cnf/lagniez/qif/mixdup.cnf.smp -out=/tmp/cnf/lagniez/qif/mixdup.cnf.unnf -max-depth=19, done, 579682, 0.0393751,/dnf/build/sampler --n 1000 --cnf /tmp/cnf/lagniez/qif/mixdup.cnf, done, 8970, 0.027556,2923003274661805836407369665432566039311865085952
cnf/lagniez/Handmade/parity/par32-5.cnf,3176,10325,,/d4/d4 -dDNNF /tmp/cnf/lagniez/Handmade/parity/par32-5.cnf.up -out=/tmp/cnf/lagniez/Handmade/parity/par32-5.cnf.unnf, done, 7729, 0.0139009,/dnf/build/sampler --n 1000 --cnf /tmp/cnf/lagniez/Handmade/parity/par32-5.cnf, err, 8695, 0.405791,,/d4/d4 -dDNNF /tmp/cnf/lagniez/Handmade/parity/par32-5.cnf.smp -out=/tmp/cnf/lagniez/Handmade/parity/par32-5.cnf.unnf -max-depth=19, timeout, 34861, 1800,/dnf/build/sampler --n 1000 --cnf /tmp/cnf/lagniez/Handmade/parity/par32-5.cnf, err, 15552, 0.241679,
cnf/soos/04B-4.cnf.gz.no_w.cnf,36636,164089,,/d4/d4 -dDNNF /tmp/cnf/soos/04B-4.cnf.gz.no_w.cnf.up -out=/tmp/cnf/soos/04B-4.cnf.gz.no_w.cnf.unnf, done, 7729, 0.0139803,/dnf/build/sampler --n 1000 --cnf /tmp/cnf/soos/04B-4.cnf.gz.no_w.cnf, err, 8695, 0.228029,,/d4/d4 -dDNNF /tmp/cnf/soos/04B-4.cnf.gz.no_w.cnf.smp -out=/tmp/cnf/soos/04B-4.cnf.gz.no_w.cnf.unnf -max-depth=19, timeout, 2797027, 1800,/dnf/build/sampler --n 1000 --cnf /tmp/cnf/soos/04B-4.cnf.gz.no_w.cnf, err, 1211805, 1.01454,
cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-9-UC-30.cnf,140,350,,/d4/d4 -dDNNF /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-9-UC-30.cnf.up -out=/tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-9-UC-30.cnf.unnf, done, 7729, 0.014734,/dnf/build/sampler --n 1000 --cnf /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-9-UC-30.cnf, err, 8695, 0.207548,,/d4/d4 -dDNNF /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-9-UC-30.cnf.smp -out=/tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-9-UC-30.cnf.unnf -max-depth=19, done, 583987, 0.0418623,/dnf/build/sampler --n 1000 --cnf /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-9-UC-30.cnf, done, 537477, 0.0277839,330301440
cnf/lagniez/Planning/pddlXpSym/flip_no_action_1_p_t8.cnf,57,152,,/d4/d4 -dDNNF /tmp/cnf/lagniez/Planning/pddlXpSym/flip_no_action_1_p_t8.cnf.up -out=/tmp/cnf/lagniez/Planning/pddlXpSym/flip_no_action_1_p_t8.cnf.unnf, done, 7729, 0.0160264,/dnf/build/sampler --n 1000 --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/flip_no_action_1_p_t8.cnf, err, 8695, 0.242305,,/d4/d4 -dDNNF /tmp/cnf/lagniez/Planning/pddlXpSym/flip_no_action_1_p_t8.cnf.smp -out=/tmp/cnf/lagniez/Planning/pddlXpSym/flip_no_action_1_p_t8.cnf.unnf -max-depth=19, done, 579784, 0.0383455,/dnf/build/sampler --n 1000 --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/flip_no_action_1_p_t8.cnf, done, 537341, 0.0252894,13122
cnf/lagniez/BayesianNetwork/Ratio_90/90-20-10-q.cnf,1920,3040,,/d4/d4 -dDNNF /tmp/cnf/lagniez/BayesianNetwork/Ratio_90/90-20-10-q.cnf.up -out=/tmp/cnf/lagniez/BayesianNetwork/Ratio_90/90-20-10-q.cnf.unnf, done, 7729, 0.0170975,/dnf/build/sampler --n 1000 --cnf /tmp/cnf/lagniez/BayesianNetwork/Ratio_90/90-20-10-q.cnf, err, 8695, 0.229671,,/d4/d4 -dDNNF /tmp/cnf/lagniez/BayesianNetwork/Ratio_90/90-20-10-q.cnf.smp -out=/tmp/cnf/lagniez/BayesianNetwork/Ratio_90/90-20-10-q.cnf.unnf -max-depth=19, done, 585900, 0.294182,/dnf/build/sampler --n 1000 --cnf /tmp/cnf/lagniez/BayesianNetwork/Ratio_90/90-20-10-q.cnf, done, 539627, 0.800428,50487441963632319917910396775594164789687788749588874189874571780279301315747699112135153712145007488120555570465141335935652404170084985861536971664905941030901332311275170484951393331828483006341666729069810982079248321740530617692042261144418007842088766098199337200256823641800571805500293658453754147471217902416630245599789214791697382746394956409293077782142667872498737966331654313889962526060219976657679143283880894394319278556146119015427509059584
