file,r1_command,r1_status,r1_mem,r1_time,r1_amc,r2_command,r2_status,r2_mem,r2_time,r2_amc,r3_command,r3_status,r3_mem,r3_time,r3_amc,r4_command,r4_status,r4_mem,r4_time,r4_amc
cnf/soos/or-70-10-8-UC-10.cnf.gz.no_w.cnf,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 29739 /tmp/cnf/soos/or-70-10-8-UC-10.cnf.gz.no_w.cnf,done,14991,0.18654,281474976710656,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 1524 /tmp/cnf/soos/or-70-10-8-UC-10.cnf.gz.no_w.cnf,done,14991,0.183433,281474976710656,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 2990 /tmp/cnf/soos/or-70-10-8-UC-10.cnf.gz.no_w.cnf,done,14991,0.191492,281474976710656,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 23971 /tmp/cnf/soos/or-70-10-8-UC-10.cnf.gz.no_w.cnf,done,14991,0.191275,281474976710656
cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-20-9-UC-40.cnf,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 24533 /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-20-9-UC-40.cnf,done,14991,0.182067,21139292160,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 18116 /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-20-9-UC-40.cnf,done,14991,0.182305,21139292160,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 1554 /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-20-9-UC-40.cnf,done,14991,0.171685,20937965568,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 6742 /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-20-9-UC-40.cnf,done,14991,0.180153,22347251712
cnf/lagniez/BayesianNetwork/DQMR/qmr-60/or-60-5-10-UC-40.cnf,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 3909 /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-60/or-60-5-10-UC-40.cnf,done,14991,0.0353099,24576,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 25394 /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-60/or-60-5-10-UC-40.cnf,done,14991,0.0373047,24576,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 15596 /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-60/or-60-5-10-UC-40.cnf,done,14991,0.0395267,24576,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 6805 /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-60/or-60-5-10-UC-40.cnf,done,14991,0.0382901,24576
cnf/lagniez/Planning/pddlXpSym/uts_k2_p_t2.cnf,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 18777 /tmp/cnf/lagniez/Planning/pddlXpSym/uts_k2_p_t2.cnf,done,17801,0.332551,11844714496,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 19480 /tmp/cnf/lagniez/Planning/pddlXpSym/uts_k2_p_t2.cnf,done,15335,0.319707,11945377792,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 24350 /tmp/cnf/lagniez/Planning/pddlXpSym/uts_k2_p_t2.cnf,done,17801,0.33005,11509170176,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 19417 /tmp/cnf/lagniez/Planning/pddlXpSym/uts_k2_p_t2.cnf,done,15310,0.319291,11811160064
cnf/sundermann/systems_software/ToyBox/Berger2013.cnf,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 32555 /tmp/cnf/sundermann/systems_software/ToyBox/Berger2013.cnf,done,15118,0.18106,144115188075855872,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 30812 /tmp/cnf/sundermann/systems_software/ToyBox/Berger2013.cnf,done,15110,0.184371,142426338215591936,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 6434 /tmp/cnf/sundermann/systems_software/ToyBox/Berger2013.cnf,done,15101,0.184463,143552238122434560,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 693 /tmp/cnf/sundermann/systems_software/ToyBox/Berger2013.cnf,done,15089,0.175714,144678138029277184
cnf/lagniez/Handmade/parity/par32-5.cnf,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 31436 /tmp/cnf/lagniez/Handmade/parity/par32-5.cnf,done,14991,0.00221174,,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 12970 /tmp/cnf/lagniez/Handmade/parity/par32-5.cnf,done,14991,0.00220719,,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 27504 /tmp/cnf/lagniez/Handmade/parity/par32-5.cnf,done,14991,0.00223026,,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 2133 /tmp/cnf/lagniez/Handmade/parity/par32-5.cnf,done,14991,0.00222963,
cnf/plazar/Blasted_Real/blasted_case213.cnf,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 16995 /tmp/cnf/plazar/Blasted_Real/blasted_case213.cnf,done,20275,0.618026,151115727451828646838272,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 4133 /tmp/cnf/plazar/Blasted_Real/blasted_case213.cnf,done,20275,0.606087,151115727451828646838272,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 7864 /tmp/cnf/plazar/Blasted_Real/blasted_case213.cnf,done,20279,0.607108,151115727451828646838272,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 19554 /tmp/cnf/plazar/Blasted_Real/blasted_case213.cnf,done,20271,0.610817,151115727451828646838272
cnf/lagniez/Planning/pddlXpSym/emptyroom_d8_g4_p_t10.cnf,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 10854 /tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d8_g4_p_t10.cnf,done,31617,7.696,8555574853632,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 13499 /tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d8_g4_p_t10.cnf,done,31326,7.72476,8658654068736,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 3378 /tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d8_g4_p_t10.cnf,done,33234,7.54171,8899172237312,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 23159 /tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d8_g4_p_t10.cnf,done,32092,7.98415,8521215115264
cnf/soos/or-100-5-6-UC-30.cnf.gz.no_w.cnf,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 23170 /tmp/cnf/soos/or-100-5-6-UC-30.cnf.gz.no_w.cnf,done,14991,0.160999,549755813888,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 18950 /tmp/cnf/soos/or-100-5-6-UC-30.cnf.gz.no_w.cnf,done,14991,0.163846,549755813888,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 23160 /tmp/cnf/soos/or-100-5-6-UC-30.cnf.gz.no_w.cnf,done,14991,0.182465,549755813888,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 9076 /tmp/cnf/soos/or-100-5-6-UC-30.cnf.gz.no_w.cnf,done,14991,0.16324,549755813888
cnf/soos/NotificationServiceImpl2.sk_10_36.cnf.gz.no_w.cnf,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 31347 /tmp/cnf/soos/NotificationServiceImpl2.sk_10_36.cnf.gz.no_w.cnf,done,62296,1.44428,5963776,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 6722 /tmp/cnf/soos/NotificationServiceImpl2.sk_10_36.cnf.gz.no_w.cnf,done,62296,1.42488,5914624,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 20450 /tmp/cnf/soos/NotificationServiceImpl2.sk_10_36.cnf.gz.no_w.cnf,done,62296,1.42979,6012928,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 1621 /tmp/cnf/soos/NotificationServiceImpl2.sk_10_36.cnf.gz.no_w.cnf,done,62296,1.4243,5996544
cnf/lagniez/Planning/pddlXpSym/sort_num_s_7_p_t4.cnf,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 11740 /tmp/cnf/lagniez/Planning/pddlXpSym/sort_num_s_7_p_t4.cnf,done,54857,14.5358,126821365506753167360,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 25952 /tmp/cnf/lagniez/Planning/pddlXpSym/sort_num_s_7_p_t4.cnf,done,49098,14.9333,122786140240629202944,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 29821 /tmp/cnf/lagniez/Planning/pddlXpSym/sort_num_s_7_p_t4.cnf,done,50024,14.3755,132009512277483978752,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 7500 /tmp/cnf/lagniez/Planning/pddlXpSym/sort_num_s_7_p_t4.cnf,done,49098,14.7029,125091983249842896896
cnf/lagniez/Planning/pddlXpSym/bomb_b20_t5_p_t4.cnf,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 2771 /tmp/cnf/lagniez/Planning/pddlXpSym/bomb_b20_t5_p_t4.cnf,done,804130,317.167,17998586564903860449991761346187827001018803736885836297052825112141279575297197339782562067773039865313740672838265009643588987349879619418125613978031306950205637587125181398416327823822078283670907176612926049949377927705679351529627325557910687760839879623837369346848070114719458364668347831470553192413380028936404785839362912214258539974849883826088477631012221158375426967817135138016112918943852067159592100875073339853256117131339064484262527935269106211825671960653502921513279168988784664828718640960357972873677085702042257959641890777038101791561983326547181434495415594156846004898201640628403578837213654835136775382631192049132000195962627724647468714476517390364948746752363485292055805520608487889454067705392372636497327155363618964791654154910538750512830252432955441412645681331437568,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 2605 /tmp/cnf/lagniez/Planning/pddlXpSym/bomb_b20_t5_p_t4.cnf,done,804438,321.122,17998586564903860449991761346187827001018803736885836297052825112141279575297197339782562067773039865313740672838265009643588987349879619418125613978031306950205637587125181398416327823822078283670907176612926049949377927705679351529627325557910687760839879623837369346848070114719458364668347831470553192413380028936404785839362912214258539974849883826088477631012221158375426967817135138016112918943852067159592100875073339853256117131339064484262527935269106211825671960653502921513279168988784664828718640960357972873677085702042257959641890777038101791561983326547181434495415594156846004898201640628403578837213654835136775382631192049132000195962627724647468714476517390364948746752363485292055805520608487889454067705392372636497327155363618964791654154910538750512830252432955441412645681331437568,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 20400 /tmp/cnf/lagniez/Planning/pddlXpSym/bomb_b20_t5_p_t4.cnf,done,804311,319.73,17998586564903860449991761346187827001018803736885836297052825112141279575297197339782562067773039865313740672838265009643588987349879619418125613978031306950205637587125181398416327823822078283670907176612926049949377927705679351529627325557910687760839879623837369346848070114719458364668347831470553192413380028936404785839362912214258539974849883826088477631012221158375426967817135138016112918943852067159592100875073339853256117131339064484262527935269106211825671960653502921513279168988784664828718640960357972873677085702042257959641890777038101791561983326547181434495415594156846004898201640628403578837213654835136775382631192049132000195962627724647468714476517390364948746752363485292055805520608487889454067705392372636497327155363618964791654154910538750512830252432955441412645681331437568,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 20026 /tmp/cnf/lagniez/Planning/pddlXpSym/bomb_b20_t5_p_t4.cnf,done,803110,321.724,17998586564903860449991761346187827001018803736885836297052825112141279575297197339782562067773039865313740672838265009643588987349879619418125613978031306950205637587125181398416327823822078283670907176612926049949377927705679351529627325557910687760839879623837369346848070114719458364668347831470553192413380028936404785839362912214258539974849883826088477631012221158375426967817135138016112918943852067159592100875073339853256117131339064484262527935269106211825671960653502921513279168988784664828718640960357972873677085702042257959641890777038101791561983326547181434495415594156846004898201640628403578837213654835136775382631192049132000195962627724647468714476517390364948746752363485292055805520608487889454067705392372636497327155363618964791654154910538750512830252432955441412645681331437568
cnf/lagniez/Planning/pddlXpSym/emptyroom_d28_g14_corners_p_t7.cnf,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 18664 /tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d28_g14_corners_p_t7.cnf,done,57225,710.826,1044835113549955072,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 19958 /tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d28_g14_corners_p_t7.cnf,done,60981,734.558,1062849512059437056,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 14101 /tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d28_g14_corners_p_t7.cnf,done,49418,695.324,1035827914295214080,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 31901 /tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d28_g14_corners_p_t7.cnf,done,52965,798.194,1053842312804696064
cnf/soos/75-17-9-q.cnf.gz.no_w.cnf,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 31589 /tmp/cnf/soos/75-17-9-q.cnf.gz.no_w.cnf,done,40402,2.61317,3316158518186977171087283760642741158699936149735704467159471849921418683482035763477878926564345847729145083728966646356210626353328840324989147544629059746554141479347263264595425816446455256534872353644097455203319930608430165174159005378955830171087831965898486080345430665055936553487340789901656166618033483630075818541056,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 18926 /tmp/cnf/soos/75-17-9-q.cnf.gz.no_w.cnf,done,40976,2.45181,3355019750821980809810962867212773281653451026490419753883996910662685308679090870081135320235021775632221002678915474243197469630906912672547614117417681540459072824808364005977403462732937154072390389038364222256483836045247706172293681223240468805905267496748858964099478680662060809973520564783316199820588563516365769539584,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 16930 /tmp/cnf/soos/75-17-9-q.cnf.gz.no_w.cnf,done,40964,2.51446,3303204773975309291512724058452730451048764524150799371584630163007663141749684061276793462007453871761453110745650370393881678594136149542469658687032852481919164364193563017468099934350961290689033008512675199518931962129490984841447446764194283959482020122281695119094081326520561801325280864941102822217181790334645834874880,/home/users/ozeyen/approxmc -d 0.1 -e 0.2 -s 30544 /tmp/cnf/soos/75-17-9-q.cnf.gz.no_w.cnf,done,40439,2.46356,3329112262398645050661843462832751866351107775320609562734313536835174225214387465678964391121237823696837056712282922318539574112521531107508636402225267011189118594500963511722751698541949222380711698775519710887707899087369345506870563993717376382693643809515277041596780003591311305649400714862209511018885176925505802207232
