file,nbv,nbc,ck_command,ck_status,ck_mem,ck_time,ck_d4_command,ck_d4_status,ck_d4_mem,ck_d4_time,ck_umc,ck_amc_command,ck_amc_status,ck_amc_mem,ck_amc_time,ck_amc_n,ck_amc_nsuccess,ck_amc_y,ck_amc_yl,ck_amc_yh
cnf/plazar/V3/s27_new_3_2.cnf,17,31,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/plazar/V3/s27_new_3_2.cnf, done, 536223, 0.137012,/d4/d4 -dDNNF /tmp/cnf/plazar/V3/s27_new_3_2.cnf.up -out=/tmp/cnf/plazar/V3/s27_new_3_2.cnf.unnf, done, 583831, 0.0383131,48,/capkc/build/appmc --cnf /tmp/cnf/plazar/V3/s27_new_3_2.cnf --nb 1000000 --alpha 0.01, done, 549560, 2.28738,1000000, 1000000, 48, 47.9997, 48
cnf/plazar/Blasted_Real/blasted_case105.cnf,170,407,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf, done, 536367, 0.215009,/d4/d4 -dDNNF /tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf.up -out=/tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf.unnf, done, 580104, 0.0521277,2199023255552,/capkc/build/appmc --cnf /tmp/cnf/plazar/Blasted_Real/blasted_case105.cnf --nb 1000000 --alpha 0.01, done, 549982, 3.59008,1000000, 1000000, 2.19902e+12, 2.19901e+12, 2.19902e+12
cnf/soos/blasted_case38.cnf.gz.no_w.cnf,143,568,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/soos/blasted_case38.cnf.gz.no_w.cnf, done, 536424, 0.294362,/d4/d4 -dDNNF /tmp/cnf/soos/blasted_case38.cnf.gz.no_w.cnf.up -out=/tmp/cnf/soos/blasted_case38.cnf.gz.no_w.cnf.unnf, done, 580046, 0.0466019,4096,/capkc/build/appmc --cnf /tmp/cnf/soos/blasted_case38.cnf.gz.no_w.cnf --nb 1000000 --alpha 0.01, done, 549838, 2.65418,1000000, 1000000, 4096, 4095.97, 4096
cnf/lagniez/Planning/pddlXpSym/bomb_b20_t5_p_t4.cnf,5700,11225,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/bomb_b20_t5_p_t4.cnf, done, 555524, 1.0329,/d4/d4 -dDNNF /tmp/cnf/lagniez/Planning/pddlXpSym/bomb_b20_t5_p_t4.cnf.up -out=/tmp/cnf/lagniez/Planning/pddlXpSym/bomb_b20_t5_p_t4.cnf.unnf, done, 593244, 0.344968,17998586564903860449991761346187827001018803736885836297052825112141279575297197339782562067773039865313740672838265009643588987349879619418125613978031306950205637587125181398416327823822078283670907176612926049949377927705679351529627325557910687760839879623837369346848070114719458364668347831470553192413380028936404785839362912214258539974849883826088477631012221158375426967817135138016112918943852067159592100875073339853256117131339064484262527935269106211825671960653502921513279168988784664828718640960357972873677085702042257959641890777038101791561983326547181434495415594156846004898201640628403578837213654835136775382631192049132000195962627724647468714476517390364948746752363485292055805520608487889454067705392372636497327155363618964791654154910538750512830252432955441412645681331437568,/capkc/build/appmc --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/bomb_b20_t5_p_t4.cnf --nb 1000000 --alpha 0.01, done, 569380, 61.9292,1000000, 1000000, 1.79986e+805, 1.79985e+805, 1.79986e+805
cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf,460,720,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf, done, 536657, 6.36622,/d4/d4 -dDNNF /tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf.up -out=/tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf.unnf, done, 590049, 1.3474,2348542582773833227889480596789337027375682548908319870707290971532209025114608443463698998384768703031934976,/capkc/build/appmc --cnf /tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf --nb 1000000 --alpha 0.01, done, 563441, 8.50237,1000000, 1000000, 2.34854e+108, 2.34853e+108, 2.34854e+108
cnf/soos/or-50-10-4-UC-30.cnf.gz.no_w.cnf,100,250,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/soos/or-50-10-4-UC-30.cnf.gz.no_w.cnf, done, 536231, 0.188755,/d4/d4 -dDNNF /tmp/cnf/soos/or-50-10-4-UC-30.cnf.gz.no_w.cnf.up -out=/tmp/cnf/soos/or-50-10-4-UC-30.cnf.gz.no_w.cnf.unnf, done, 583958, 0.0403295,51380224,/capkc/build/appmc --cnf /tmp/cnf/soos/or-50-10-4-UC-30.cnf.gz.no_w.cnf --nb 1000000 --alpha 0.01, done, 549695, 2.65375,1000000, 1000000, 5.13802e+07, 5.13799e+07, 5.13802e+07
cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-20-7-UC-40.cnf,200,500,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-20-7-UC-40.cnf, done, 536502, 4.61773,/d4/d4 -dDNNF /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-20-7-UC-40.cnf.up -out=/tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-20-7-UC-40.cnf.unnf, done, 605319, 2.53107,109819803450998784,/capkc/build/appmc --cnf /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-20-7-UC-40.cnf --nb 1000000 --alpha 0.01, done, 601010, 4.08856,1000000, 1000000, 1.0982e+17, 1.09819e+17, 1.0982e+17
cnf/soos/NotificationServiceImpl2.sk_10_36.cnf.gz.no_w.cnf,3540,13425,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/soos/NotificationServiceImpl2.sk_10_36.cnf.gz.no_w.cnf, done, 547926, 72.3717,/d4/d4 -dDNNF /tmp/cnf/soos/NotificationServiceImpl2.sk_10_36.cnf.gz.no_w.cnf.up -out=/tmp/cnf/soos/NotificationServiceImpl2.sk_10_36.cnf.gz.no_w.cnf.unnf, done, 593317, 3.55753,139767338668606357504,/capkc/build/appmc --cnf /tmp/cnf/soos/NotificationServiceImpl2.sk_10_36.cnf.gz.no_w.cnf --nb 1000000 --alpha 0.01, done, 566751, 16.2093,1000000, 1000000, 1.39767e+20, 1.39766e+20, 1.39767e+20
cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-2-UC-40.cnf,140,350,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-2-UC-40.cnf, done, 536367, 0.211481,/d4/d4 -dDNNF /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-2-UC-40.cnf.up -out=/tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-2-UC-40.cnf.unnf, done, 584327, 0.0541171,114520227840,/capkc/build/appmc --cnf /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-2-UC-40.cnf --nb 1000000 --alpha 0.01, done, 550117, 2.74457,1000000, 1000000, 1.1452e+11, 1.14519e+11, 1.1452e+11
cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t5.cnf,1275,4032,/capkc/build/capkc --mem 2000 --time 60 --ordering community --n 8 --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t5.cnf, done, 539009, 12.1545,/d4/d4 -dDNNF /tmp/cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t5.cnf.up -out=/tmp/cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t5.cnf.unnf, done, 599793, 3.83678,174658600280016239740483697612234749933289002906194171778420021456273408,/capkc/build/appmc --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t5.cnf --nb 1000000 --alpha 0.01, done, 579194, 13.3962,1000000, 1000000, 1.74659e+71, 1.74657e+71, 1.74659e+71
