file,nbv,nbc,ck_command,ck_status,ck_mem,ck_time,ck_d4_command,ck_d4_status,ck_d4_mem,ck_d4_time,empty,mc,ck_amc_command,ck_amc_status,ck_amc_mem,ck_amc_time,ck_amc_n,ck_amc_nsuccess,ck_amc_y,ck_amc_yl,ck_amc_yh
cnf/soos/or-50-10-4-UC-30.cnf.gz.no_w.cnf,100,250,/capkill/build/main --mem 2000 --time 60 --ordering ascending --n 8 --cnf /tmp/cnf/soos/or-50-10-4-UC-30.cnf.gz.no_w.cnf, done, 8032, 0.154622,/d4/d4 -dDNNF /tmp/cnf/soos/or-50-10-4-UC-30.cnf.gz.no_w.cnf.up -out=/tmp/cnf/soos/or-50-10-4-UC-30.cnf.gz.no_w.cnf.unnf, done, 583950, 0.0478847,,54132736,/capkc/build/appmc --cnf /tmp/cnf/soos/or-50-10-4-UC-30.cnf.gz.no_w.cnf --nb 10000 --alpha 0.01, done, 549695, 0.0612094,10000, 9483, 5.13341e+07, 5.10089e+07, 5.1627e+07
cnf/soos/or-70-10-8-UC-10.cnf.gz.no_w.cnf,140,350,/capkill/build/main --mem 2000 --time 60 --ordering ascending --n 8 --cnf /tmp/cnf/soos/or-70-10-8-UC-10.cnf.gz.no_w.cnf, done, 8032, 4.10165,/d4/d4 -dDNNF /tmp/cnf/soos/or-70-10-8-UC-10.cnf.gz.no_w.cnf.up -out=/tmp/cnf/soos/or-70-10-8-UC-10.cnf.gz.no_w.cnf.unnf, done, 596504, 1.29876,,281474976710656,/capkc/build/appmc --cnf /tmp/cnf/soos/or-70-10-8-UC-10.cnf.gz.no_w.cnf --nb 10000 --alpha 0.01, done, 577519, 0.381865,10000, 10000, 2.81475e+14, 2.81288e+14, 2.81475e+14
cnf/lagniez/Planning/pddlXpSym/uts_k2_p_t2.cnf,227,771,/capkill/build/main --mem 2000 --time 60 --ordering ascending --n 8 --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/uts_k2_p_t2.cnf, done, 8167, 5.29978,/d4/d4 -dDNNF /tmp/cnf/lagniez/Planning/pddlXpSym/uts_k2_p_t2.cnf.up -out=/tmp/cnf/lagniez/Planning/pddlXpSym/uts_k2_p_t2.cnf.unnf, done, 585961, 0.53632,,16036880384,/capkc/build/appmc --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/uts_k2_p_t2.cnf --nb 10000 --alpha 0.01, done, 553447, 0.107704,10000, 7221, 1.15802e+10, 1.13929e+10, 1.17629e+10
cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-2-UC-40.cnf,140,350,/capkill/build/main --mem 2000 --time 60 --ordering ascending --n 8 --cnf /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-2-UC-40.cnf, done, 8032, 0.244577,/d4/d4 -dDNNF /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-2-UC-40.cnf.up -out=/tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-2-UC-40.cnf.unnf, done, 584331, 0.0563377,,114520227840,/capkc/build/appmc --cnf /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-2-UC-40.cnf --nb 10000 --alpha 0.01, done, 550117, 0.067,10000, 10000, 1.1452e+11, 1.14444e+11, 1.1452e+11
cnf/soos/or-70-20-1-UC-40.cnf.gz.no_w.cnf,140,350,/capkill/build/main --mem 2000 --time 60 --ordering ascending --n 8 --cnf /tmp/cnf/soos/or-70-20-1-UC-40.cnf.gz.no_w.cnf, done, 8032, 0.435884,/d4/d4 -dDNNF /tmp/cnf/soos/or-70-20-1-UC-40.cnf.gz.no_w.cnf.up -out=/tmp/cnf/soos/or-70-20-1-UC-40.cnf.gz.no_w.cnf.unnf, done, 585523, 0.150694,,254775263232,/capkc/build/appmc --cnf /tmp/cnf/soos/or-70-20-1-UC-40.cnf.gz.no_w.cnf --nb 10000 --alpha 0.01, done, 553050, 0.102186,10000, 10000, 2.54775e+11, 2.54606e+11, 2.54775e+11
cnf/lagniez/qif/mixdup.cnf,309,452,/capkill/build/main --mem 2000 --time 60 --ordering ascending --n 8 --cnf /tmp/cnf/lagniez/qif/mixdup.cnf, done, 8032, 0.266486,/d4/d4 -dDNNF /tmp/cnf/lagniez/qif/mixdup.cnf.up -out=/tmp/cnf/lagniez/qif/mixdup.cnf.unnf, done, 579686, 0.0393586,,2923003274661805836407369665432566039311865085952,/capkc/build/appmc --cnf /tmp/cnf/lagniez/qif/mixdup.cnf --nb 10000 --alpha 0.01, done, 549834, 0.0712872,10000, 10000, 2.923e+48, 2.92107e+48, 2.923e+48
cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf,460,720,/capkill/build/main --mem 2000 --time 60 --ordering ascending --n 8 --cnf /tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf, done, 8171, 6.88009,/d4/d4 -dDNNF /tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf.up -out=/tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf.unnf, done, 590045, 1.3733,,2348542582773833227889480596789337027375682548908319870707290971532209025114608443463698998384768703031934976,/capkc/build/appmc --cnf /tmp/cnf/lagniez/BayesianNetwork/Ratio_50/50-10-1-q.cnf --nb 10000 --alpha 0.01, done, 563441, 0.286615,10000, 10000, 2.34854e+108, 2.34699e+108, 2.34854e+108
cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-9-UC-30.cnf,140,350,/capkill/build/main --mem 2000 --time 60 --ordering ascending --n 8 --cnf /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-9-UC-30.cnf, done, 8032, 0.223697,/d4/d4 -dDNNF /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-9-UC-30.cnf.up -out=/tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-9-UC-30.cnf.unnf, done, 583987, 0.0436282,,330301440,/capkc/build/appmc --cnf /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-70/or-70-20-9-UC-30.cnf --nb 10000 --alpha 0.01, done, 815255, 0.0608456,10000, 10000, 3.30301e+08, 3.30082e+08, 3.30301e+08
cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-20-7-UC-40.cnf,200,500,/capkill/build/main --mem 2000 --time 60 --ordering ascending --n 8 --cnf /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-20-7-UC-40.cnf, done, 8032, 7.25542,/d4/d4 -dDNNF /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-20-7-UC-40.cnf.up -out=/tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-20-7-UC-40.cnf.unnf, done, 605253, 2.54467,,109819803450998784,/capkc/build/appmc --cnf /tmp/cnf/lagniez/BayesianNetwork/DQMR/qmr-100/or-100-20-7-UC-40.cnf --nb 10000 --alpha 0.01, done, 601010, 0.642848,10000, 10000, 1.0982e+17, 1.09747e+17, 1.0982e+17
cnf/lagniez/Planning/pddlXpSym/flip_no_action_1_p_t8.cnf,57,152,/capkill/build/main --mem 2000 --time 60 --ordering ascending --n 8 --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/flip_no_action_1_p_t8.cnf, done, 8028, 0.202964,/d4/d4 -dDNNF /tmp/cnf/lagniez/Planning/pddlXpSym/flip_no_action_1_p_t8.cnf.up -out=/tmp/cnf/lagniez/Planning/pddlXpSym/flip_no_action_1_p_t8.cnf.unnf, done, 579788, 0.0382043,,13122,/capkc/build/appmc --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/flip_no_action_1_p_t8.cnf --nb 10000 --alpha 0.01, done, 549560, 0.0599685,10000, 10000, 13122, 13113.3, 13122
cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t3.cnf,795,2424,/capkill/build/main --mem 2000 --time 60 --ordering ascending --n 8 --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t3.cnf, done, 8646, 7.60537,/d4/d4 -dDNNF /tmp/cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t3.cnf.up -out=/tmp/cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t3.cnf.unnf, done, 588185, 0.580994,,214422263367705878526372370065293615059127624531968,/capkc/build/appmc --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t3.cnf --nb 10000 --alpha 0.01, done, 557916, 0.222504,10000, 10000, 2.14422e+50, 2.1428e+50, 2.14422e+50
cnf/lagniez/BayesianNetwork/Ratio_90/90-20-10-q.cnf,1920,3040,/capkill/build/main --mem 2000 --time 60 --ordering ascending --n 8 --cnf /tmp/cnf/lagniez/BayesianNetwork/Ratio_90/90-20-10-q.cnf, done, 8658, 1.6913,/d4/d4 -dDNNF /tmp/cnf/lagniez/BayesianNetwork/Ratio_90/90-20-10-q.cnf.up -out=/tmp/cnf/lagniez/BayesianNetwork/Ratio_90/90-20-10-q.cnf.unnf, done, 585883, 0.286241,,2506295055763174672750476925289828988785252078744919704453160223659463112905852751384520371831815563560687515467974783243283991289161677444194045756924943903786824730615675974131168974558907928307725162164208945906076055625780005851493811907082889827825185995137951063526148908931692930703766815429584052663777912045312959146145777814937587650041065281103859617824365603273432668032275111170617047130124508612572684431360304947462961144460343411030104211456,/capkc/build/appmc --cnf /tmp/cnf/lagniez/BayesianNetwork/Ratio_90/90-20-10-q.cnf --nb 10000 --alpha 0.01, done, 551882, 0.420859,10000, 10000, 2.5063e+456, 2.50463e+456, 2.5063e+456
cnf/soos/90-15-8-q.cnf.gz.no_w.cnf,1065,1680,/capkill/build/main --mem 2000 --time 60 --ordering ascending --n 8 --cnf /tmp/cnf/soos/90-15-8-q.cnf.gz.no_w.cnf, done, 8355, 0.395394,/d4/d4 -dDNNF /tmp/cnf/soos/90-15-8-q.cnf.gz.no_w.cnf.up -out=/tmp/cnf/soos/90-15-8-q.cnf.gz.no_w.cnf.unnf, done, 584851, 0.0763621,,7331559403129590068331208687020758653624765228075687047537011123791632385370343464792392772051104864109916034360063928339045596353810784435313926666640532382851295822842678298180301122938618566718730242107326783353838221723324821405531849499257419595776,/capkc/build/appmc --cnf /tmp/cnf/soos/90-15-8-q.cnf.gz.no_w.cnf --nb 10000 --alpha 0.01, done, 550428, 0.200126,10000, 10000, 7.33156e+252, 7.3267e+252, 7.33156e+252
cnf/sundermann/systems_software/cma230/Knüppel2017.cnf,1225,2464,/capkill/build/main --mem 2000 --time 60 --ordering ascending --n 8 --cnf /tmp/cnf/sundermann/systems_software/cma230/Knüppel2017.cnf, done, 8585, 16.3278,/d4/d4 -dDNNF /tmp/cnf/sundermann/systems_software/cma230/Knüppel2017.cnf.up -out=/tmp/cnf/sundermann/systems_software/cma230/Knüppel2017.cnf.unnf, done, 593846, 3.62699,,52312258426754448493793761890686615511881351669810229756460037765755369310788278479549458844064465374001333545175330733800,/capkc/build/appmc --cnf /tmp/cnf/sundermann/systems_software/cma230/Knüppel2017.cnf --nb 10000 --alpha 0.01, done, 574324, 0.515735,10000, 10000, 5.23123e+121, 5.22776e+121, 5.23123e+121
cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t5.cnf,1275,4032,/capkill/build/main --mem 2000 --time 60 --ordering ascending --n 8 --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t5.cnf, done, 8966, 24.6916,/d4/d4 -dDNNF /tmp/cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t5.cnf.up -out=/tmp/cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t5.cnf.unnf, done, 599797, 3.8595,,174658600280016239740483697612234749933289002906194171778420021456273408,/capkc/build/appmc --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/comm_p02_p_t5.cnf --nb 10000 --alpha 0.01, done, 579194, 0.529595,10000, 10000, 1.74659e+71, 1.74543e+71, 1.74659e+71
cnf/soos/75-17-9-q.cnf.gz.no_w.cnf,1377,2176,/capkill/build/main --mem 2000 --time 60 --ordering ascending --n 8 --cnf /tmp/cnf/soos/75-17-9-q.cnf.gz.no_w.cnf, done, 8462, 24.6977,/d4/d4 -dDNNF /tmp/cnf/soos/75-17-9-q.cnf.gz.no_w.cnf.up -out=/tmp/cnf/soos/75-17-9-q.cnf.gz.no_w.cnf.unnf, done, 618438, 10.6653,,3834308286653692354069671848243169464746801173131908290153139326471640352776103851521297508840024886436824003061617684849368536721036471625768701848477350331953226085495273149688461100266213890368446158900987682578838669765997378482621349969417678635320305710570124530399404206470926639969737788323789942652101215447275165188096,/capkc/build/appmc --cnf /tmp/cnf/soos/75-17-9-q.cnf.gz.no_w.cnf --nb 10000 --alpha 0.01, done, 618586, 1.2487,10000, 8633, 3.31016e+327, 3.2753e+327, 3.34316e+327
cnf/lagniez/Planning/pddlXpSym/emptyroom_d8_g4_p_t10.cnf,776,2582,/capkill/build/main --mem 2000 --time 60 --ordering ascending --n 8 --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d8_g4_p_t10.cnf, done, 8577, 38.6534,/d4/d4 -dDNNF /tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d8_g4_p_t10.cnf.up -out=/tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d8_g4_p_t10.cnf.unnf, done, 585928, 1.65603,,8739644651521,/capkc/build/appmc --cnf /tmp/cnf/lagniez/Planning/pddlXpSym/emptyroom_d8_g4_p_t10.cnf --nb 10000 --alpha 0.01, done, 557522, 0.197591,10000, 10000, 8.73964e+12, 8.73385e+12, 8.73964e+12
cnf/plazar/Blasted_Real/blasted_case14.cnf,247,649,/capkill/build/main --mem 2000 --time 60 --ordering ascending --n 8 --cnf /tmp/cnf/plazar/Blasted_Real/blasted_case14.cnf, done, 8167, 0.416877,/d4/d4 -dDNNF /tmp/cnf/plazar/Blasted_Real/blasted_case14.cnf.up -out=/tmp/cnf/plazar/Blasted_Real/blasted_case14.cnf.unnf, done, 580403, 0.0954484,,562949953421312,/capkc/build/appmc --cnf /tmp/cnf/plazar/Blasted_Real/blasted_case14.cnf --nb 10000 --alpha 0.01, done, 550690, 0.0860656,10000, 10000, 5.6295e+14, 5.62577e+14, 5.6295e+14
